date,open,high,low,close,volume
21/10/2010,1.374,1.3966,1.3633,1.3833,417987
22/10/2010,1.3786,1.3953,1.37,1.3813,161016
25/10/2010,1.396,1.3987,1.382,1.39,118614
26/10/2010,1.3867,1.458,1.3673,1.424,660842
27/10/2010,1.4167,1.4253,1.3767,1.4,356500
28/10/2010,1.426,1.4334,1.3974,1.4127,224197
29/10/2010,1.4093,1.4567,1.4035,1.456,280682
1/11/2010,1.4626,1.5166,1.4206,1.4273,455772
2/11/2010,1.4454,1.4587,1.4034,1.4167,322474
3/11/2010,1.4186,1.5,1.4106,1.4513,374189
4/11/2010,1.5067,1.6887,1.4767,1.66,1874803
5/11/2010,1.658,1.6646,1.5813,1.6293,1010922
8/11/2010,1.6333,1.6666,1.602,1.6653,509463
9/11/2010,1.6667,1.7127,1.6033,1.642,957750
10/11/2010,1.632,1.998,1.6033,1.9573,3060979
11/11/2010,1.9067,1.94,1.822,1.869,1945096
12/11/2010,1.8833,2.0333,1.8713,1.9893,2729117
15/11/2010,2.0146,2.1959,2.0146,2.0533,2625085
16/11/2010,2.0667,2.0933,1.8947,1.978,1347732
17/11/2010,2.0133,2.05,1.9073,1.966,750342
18/11/2010,2.0447,2.0494,1.928,1.9927,956268
19/11/2010,2.0107,2.0913,1.98,2.066,1150495
22/11/2010,2.1047,2.23,2.1,2.2267,1530001
23/11/2010,2.2194,2.3787,2.146,2.3047,1578099
24/11/2010,2.3514,2.398,2.289,2.3647,1424985
26/11/2010,2.3734,2.4,2.3167,2.3547,350560
29/11/2010,2.3608,2.3967,2.222,2.2887,1145564
30/11/2010,2.2493,2.3553,2.2273,2.3553,2222923
1/12/2010,2.3913,2.428,2.23,2.29,1299176
2/12/2010,2.2674,2.2865,2.08,2.1567,2007006
3/12/2010,2.134,2.15,2.058,2.0993,1160439
6/12/2010,2.09,2.0967,1.9707,2.0207,1274402
7/12/2010,2.0327,2.16,2.0033,2.104,1311549
8/12/2010,2.1653,2.166,2.1013,2.158,660981
9/12/2010,2.1674,2.1814,2.11,2.1367,405991
10/12/2010,2.1366,2.1946,2.0753,2.1013,429373
13/12/2010,2.1094,2.118,2.0267,2.0367,410339
14/12/2010,2.0193,2.026,1.8507,1.902,1766912
15/12/2010,1.9113,1.998,1.902,1.9733,742886
16/12/2010,2,2.0607,1.9767,2.054,790071
17/12/2010,2.0894,2.1027,2.0474,2.0907,813834
20/12/2010,2.1093,2.146,2.084,2.1133,523311
21/12/2010,2.12,2.1794,2.114,2.1507,777693
22/12/2010,2.15,2.1906,2.1133,2.1753,833242
23/12/2010,2.084,2.1653,1.9947,2.006,1557127
27/12/2010,1.868,1.9054,1.6707,1.7033,9302556
28/12/2010,1.7234,1.7834,1.6667,1.7607,4056685
29/12/2010,1.802,1.8674,1.7667,1.8487,3319505
30/12/2010,1.8467,1.86,1.7587,1.7667,2041115
31/12/2010,1.7713,1.8166,1.7666,1.7753,1417817
3/01/2011,1.7894,1.8,1.7267,1.7747,1284114
4/01/2011,1.7773,1.7967,1.7347,1.778,1189072
5/01/2011,1.7654,1.7934,1.746,1.7887,1446903
6/01/2011,1.7887,1.8667,1.7874,1.8587,2061263
7/01/2011,1.8667,1.9054,1.86,1.8827,2249590
10/01/2011,1.878,1.912,1.87,1.8967,1342842
11/01/2011,1.906,1.914,1.7946,1.7973,1711319
12/01/2011,1.8006,1.8266,1.768,1.7973,964702
13/01/2011,1.7973,1.798,1.744,1.748,723523
14/01/2011,1.7434,1.772,1.7074,1.7167,1192150
18/01/2011,1.6986,1.7093,1.65,1.7093,1623803
19/01/2011,1.6847,1.698,1.5833,1.602,2371516
20/01/2011,1.602,1.63,1.4913,1.508,2279960
21/01/2011,1.5413,1.5727,1.514,1.536,1216942
24/01/2011,1.5687,1.654,1.5487,1.6327,1645231
25/01/2011,1.6433,1.6593,1.6013,1.6453,1271527
26/01/2011,1.6473,1.6587,1.6067,1.65,1079868
27/01/2011,1.6493,1.672,1.6353,1.6613,895634
28/01/2011,1.6587,1.6587,1.5834,1.6007,1048838
31/01/2011,1.6034,1.608,1.5667,1.6067,831597
1/02/2011,1.6207,1.6487,1.5693,1.594,707792
2/02/2011,1.6107,1.612,1.5779,1.596,569473
3/02/2011,1.588,1.5933,1.5433,1.5753,512055
4/02/2011,1.5627,1.578,1.548,1.564,543918
7/02/2011,1.5507,1.5507,1.5253,1.538,895012
8/02/2011,1.5854,1.6834,1.5334,1.6327,3505272
9/02/2011,1.6086,1.612,1.5193,1.5473,2636197
10/02/2011,1.5507,1.576,1.5207,1.5477,836043
11/02/2011,1.55,1.5833,1.5293,1.55,636603
14/02/2011,1.576,1.6094,1.5367,1.5387,1283439
15/02/2011,1.534,1.5447,1.504,1.5227,960877
16/02/2011,1.54,1.6647,1.538,1.6487,4115910
17/02/2011,1.642,1.6993,1.57,1.5733,2619878
18/02/2011,1.5553,1.566,1.5306,1.5453,2370711
22/02/2011,1.5253,1.5333,1.452,1.458,2064542
23/02/2011,1.4786,1.5,1.4073,1.4553,1605666
24/02/2011,1.452,1.5053,1.4333,1.502,1055451
25/02/2011,1.5207,1.59,1.5127,1.574,1347258
28/02/2011,1.5827,1.6067,1.5667,1.5927,1051133
1/03/2011,1.6033,1.6213,1.58,1.596,1106351
2/03/2011,1.588,1.6186,1.5816,1.6013,663278
3/03/2011,1.632,1.6527,1.604,1.624,640141
4/03/2011,1.632,1.666,1.5853,1.6633,1580064
7/03/2011,1.662,1.6934,1.6467,1.6627,2033582
